,City Name,Date,Long,Lat,Temp,Humid,Wind,clouds,Country
126,Moerai,1608350737,-151.33,-22.43,77.41,76,10.94,100,PF
127,Puerto Escondido,1608350737,-97.07,15.85,78.8,69,3.38,40,MX
128,Itoman,1608350737,127.67,26.12,68.0,77,23.04,75,JP
129,Sur,1608350737,59.53,22.57,69.94,57,1.34,37,OM
130,Doha,1608350737,51.53,25.29,64.4,77,1.12,75,QA
131,Praxédis Guerrero,1608350737,-106.02,31.37,55.4,22,12.75,5,MX
132,Brae,1608350737,-1.35,60.4,50.0,93,12.75,100,GB
133,Cape Town,1608350737,18.42,-33.93,64.99,88,12.75,0,ZA
134,Harper,1608350737,-7.72,4.38,77.94,83,6.42,100,LR
135,Derzhavīnsk,1608350738,66.32,51.1,15.24,94,12.73,100,KZ
136,Hong Kong,1608350650,114.16,22.29,62.01,62,1.99,63,HK
137,Tuktoyaktuk,1608350738,-133.04,69.45,-23.8,74,9.17,75,CA
138,Garissa,1608350738,39.64,-0.45,75.74,80,6.91,3,KE
139,Kimbe,1608350738,150.14,-5.55,84.74,77,4.83,77,PG
140,Kaeo,1608350738,173.78,-35.1,70.93,56,6.02,1,NZ
141,Tugdan,1608350738,122.09,12.31,79.39,87,16.42,100,PH
142,Krasnoarmeysk,1608350738,45.7,51.02,13.42,97,6.17,47,RU
143,Chandauli,1608350738,83.27,25.27,53.6,71,4.7,0,IN
144,Scottsboro,1608350738,-86.03,34.67,36.0,100,2.42,1,US
145,Iquique,1608350738,-70.14,-20.22,69.8,64,10.29,90,CL
146,Sechura,1608350533,-80.82,-5.56,70.32,76,10.8,93,PE
147,Eydhafushi,1608350739,73.07,5.1,83.53,76,18.59,56,MV
148,Wadi Maliz,1608350739,8.55,36.47,53.6,93,2.55,75,TN
149,Rumphi,1608350739,33.86,-11.02,65.46,85,3.29,51,MW
150,Talnakh,1608350739,88.4,69.49,-11.2,83,8.95,40,RU
151,George Town,1608350469,100.34,5.41,82.4,69,4.7,20,MY
152,Port Macquarie,1608350739,152.92,-31.43,72.0,100,9.17,90,AU
153,Coyhaique,1608350739,-72.07,-45.58,46.4,81,4.7,0,CL
154,Portland,1608350094,-122.68,45.52,48.2,87,17.22,90,US
155,Kapaa,1608350739,-159.32,22.08,78.8,74,16.11,75,US
156,Thompson,1608350643,-97.86,55.74,-20.2,68,5.82,5,CA
157,Cookeville,1608350617,-85.5,36.16,33.8,92,4.45,1,US
158,Puerto Ayora,1608350740,-90.35,-0.74,71.01,94,5.08,16,EC
159,Port-Gentil,1608350740,8.78,-0.72,79.23,83,11.32,100,GA
160,Samoylovka,1608350740,43.71,51.18,15.57,96,5.32,96,RU
161,Vigrestad,1608350740,5.7,58.57,50.0,93,18.34,75,NO
162,Dinguiraye,1608350740,-10.72,11.3,68.5,33,2.42,47,GN
163,Yumen,1608350740,97.2,40.28,19.17,83,6.2,12,CN
164,Katiola,1608350740,-5.1,8.13,71.6,88,4.7,40,CI
165,Nybro,1608350740,15.91,56.74,44.6,93,12.75,96,SE
166,Izberbash,1608350741,47.86,42.57,37.4,86,2.24,90,RU
167,Belyy Yar,1608350741,91.39,53.6,26.6,58,11.18,0,RU
168,Orda,1608350741,56.91,57.2,-6.36,89,8.59,1,RU
169,Pandan,1608350741,124.17,14.05,78.69,91,22.93,100,PH
170,Viedma,1608350741,-63.0,-40.81,66.99,73,4.0,100,AR
171,Sakakah,1608350741,40.21,29.97,48.2,81,3.36,0,SA
172,Khatanga,1608350741,102.5,71.97,-18.9,86,6.87,92,RU
173,Bara,1608350741,10.73,10.37,64.15,35,4.63,8,NG
174,Mimongo,1608350741,11.61,-1.62,69.1,95,0.78,99,GA
175,San Miguel de Tucumán,1608350464,-65.22,-26.82,78.8,78,5.82,0,AR
176,Srednekolymsk,1608350742,153.68,67.45,-24.29,87,1.01,67,RU
177,São Filipe,1608350742,-24.5,14.9,72.07,76,12.71,74,CV
178,Sibu,1608350742,111.82,2.3,78.8,88,2.24,40,MY
179,Te Anau,1608350742,167.72,-45.42,58.96,91,3.96,100,NZ
180,Tambun,1608350742,107.07,-6.26,89.6,55,14.99,40,ID
181,Saint Anthony,1608350742,-93.22,45.02,36.0,80,8.41,90,US
182,Chimoré,1608350742,-65.13,-16.98,77.5,75,1.72,68,BO
183,Bandarbeyla,1608350742,50.81,9.49,76.5,82,17.78,42,SO
184,Nishihara,1608350742,127.76,26.18,68.0,77,12.75,90,JP
185,Pestovo,1608350742,35.8,58.59,22.15,97,9.48,100,RU
186,Atar,1608350742,-13.05,20.52,58.46,36,11.12,0,MR
187,Carbonear,1608350742,-53.21,47.73,35.01,94,16.11,90,CA
188,Saint-Philippe,1608350742,55.77,-21.36,82.4,65,1.12,0,RE
189,Lavrentiya,1608350743,-171.0,65.58,6.39,90,18.14,99,RU
190,Nouadhibou,1608350743,-17.03,20.93,60.8,77,18.34,0,MR
191,Grafton,1608350644,-71.69,42.21,17.6,61,5.82,1,US
192,Houma,1608350743,-90.72,29.6,48.99,87,3.36,1,US
193,Whitehorse,1608350743,-135.05,60.72,-4.0,76,3.36,90,CA
194,Eyl,1608350743,49.82,7.98,78.28,75,17.98,40,SO
195,Río Cuarto,1608350743,-64.35,-33.13,57.0,84,8.01,64,AR
196,Ludvika,1608350743,15.19,60.15,44.6,93,4.7,100,SE
197,Christchurch,1608350628,172.63,-43.53,82.4,23,10.29,45,NZ
198,Minas,1608350743,-55.24,-34.38,73.0,88,14.99,0,UY
199,Mandan,1608350743,-100.89,46.83,12.2,78,5.82,1,US
200,Takaka,1608350744,172.8,-40.85,73.0,61,4.0,71,NZ
201,Abhā,1608350703,42.51,18.22,51.8,76,8.05,0,SA
202,Ugoofaaru,1608350744,73.0,5.67,83.16,77,14.5,97,MV
203,Quirinópolis,1608350744,-50.45,-18.45,76.48,62,0.92,88,BR
204,Champotón,1608350641,-90.72,19.35,72.34,87,9.08,10,MX
205,Caravelas,1608350744,-39.25,-17.71,74.86,92,5.06,37,BR
206,Sheltozero,1608350744,35.37,61.37,22.84,95,13.47,100,RU
207,Alta Floresta,1608350744,-56.09,-9.88,70.3,95,2.39,54,BR
208,Tierralta,1608350744,-76.06,8.17,74.95,90,4.18,65,CO
209,Arrondissement de Saint-Denis,1608350493,2.33,48.92,46.0,93,5.82,0,FR
210,Ostrovnoy,1608350745,39.51,68.05,22.78,93,29.15,100,RU
211,Kavieng,1608350745,150.8,-2.57,84.74,74,9.55,85,PG
212,Deputatsky,1608350745,139.9,69.3,-23.06,88,3.56,100,RU
213,Calbuco,1608350745,-73.13,-41.77,51.8,87,5.82,90,CL
214,Arraial do Cabo,1608350745,-42.03,-22.97,74.52,90,11.14,70,BR
215,Kampene,1608350745,26.67,-3.6,66.4,93,1.45,100,CD
216,Kumul,1608350745,93.45,42.8,24.75,71,2.46,34,CN
217,Bengkulu,1608350745,102.27,-3.8,84.07,63,4.99,100,ID
218,Castro,1608350745,-50.01,-24.79,63.39,94,2.68,0,BR
219,Ixtapa,1608350745,-105.2,20.7,70.0,94,2.24,5,MX
220,Griffith,1608350746,-87.42,41.53,33.8,90,13.87,1,US
221,Nanortalik,1608350746,-45.24,60.14,24.04,93,8.41,100,GL
222,Saskylakh,1608350746,114.08,71.92,-28.21,83,9.08,94,RU
223,Faxinal,1608350746,-51.32,-24.0,66.72,88,2.98,0,BR
224,Billings Metropolitan Area,1608350300,-108.5,45.78,33.8,55,13.87,1,US
225,Lashio,1608350746,97.75,22.93,72.27,60,1.74,24,MM
226,Kīhei,1608350746,-156.47,20.79,73.4,78,14.99,40,US
227,Cidreira,1608350746,-50.21,-30.18,72.61,85,20.67,12,BR
228,Olafsvik,1608350746,-23.71,64.89,33.08,91,41.0,100,IS
229,Tasiilaq,1608350747,-37.64,65.61,19.4,67,2.24,100,GL
230,Longyearbyen,1608350486,15.64,78.22,6.8,60,11.41,20,SJ
231,Westport,1608350485,-73.36,41.14,23.0,57,9.17,1,US
232,Bah,1608350747,78.6,26.87,58.08,33,6.29,6,IN
233,Pauini,1608350747,-66.98,-7.71,72.27,93,2.35,57,BR
234,Santa Comba,1608350747,-8.81,43.03,57.0,81,5.01,36,ES
235,College,1608350747,-147.8,64.86,-11.99,68,3.36,40,US
236,Río Gallegos,1608350747,-69.22,-51.62,50.0,76,8.05,40,AR
237,Visby,1608350747,18.3,57.64,44.6,93,13.87,100,SE
238,Imbituba,1608350747,-48.67,-28.24,75.2,83,4.7,75,BR
239,Conceição do Araguaia,1608350747,-49.26,-8.26,76.86,76,3.06,85,BR
240,Faya,1608350747,42.45,18.39,51.8,76,8.05,0,SA
241,Cabo San Lucas,1608350459,-109.91,22.89,68.0,77,3.36,40,MX
242,San Vicente,1608350748,-54.13,-26.62,70.21,92,4.14,1,AR
243,Bagotville,1608350748,153.42,-28.98,86.0,74,12.75,75,AU
244,Zhigansk,1608350748,123.37,66.77,-41.51,80,9.19,94,RU
245,Sexsmith,1608350748,-118.79,55.35,8.6,78,2.24,90,CA
246,Zakharivka,1608350748,29.75,47.33,36.66,82,5.03,84,UA
247,Bukama,1608350748,25.85,-9.2,67.44,95,0.98,100,CD
248,Gorlice,1608350748,21.16,49.66,36.0,96,4.0,46,PL
249,Luanda,1608350747,13.23,-8.84,75.2,88,8.28,75,AO
250,Boden,1608350748,21.69,65.83,23.0,100,4.7,27,SE
251,Uni,1608350749,51.49,57.75,-3.53,91,7.61,0,RU
252,Port Elizabeth,1608350749,25.57,-33.92,68.0,100,8.05,90,ZA
253,Lompoc,1608350749,-120.46,34.64,48.0,87,4.7,1,US
254,Manyana,1608350749,21.72,-23.4,67.33,81,10.54,95,BW
255,Emerald,1608350749,148.17,-23.53,93.0,52,5.82,40,AU
256,Kropotkin,1608350749,40.58,45.44,33.87,90,6.53,99,RU
257,Airai,1608350749,125.41,-8.93,71.15,86,5.26,86,TL
258,Acaraú,1608350749,-40.12,-2.89,80.6,74,1.12,20,BR
259,Coahuayana Viejo,1608350749,-103.68,18.73,71.35,69,3.15,61,MX
260,Pāsighāt,1608350749,95.33,28.07,69.19,38,2.24,3,IN
261,Yenagoa,1608350750,6.26,4.92,74.46,94,3.18,65,NG
262,Kenai,1608350750,-151.26,60.55,21.99,78,5.82,90,US
263,Port Hedland,1608350750,118.57,-20.32,93.2,67,10.29,60,AU
264,Shamary,1608350750,58.22,57.34,-4.11,88,3.6,0,RU
265,Maniitsoq,1608350750,-52.9,65.42,18.48,88,6.29,100,GL
266,Huilong,1608350750,121.66,31.81,43.83,62,17.65,36,CN
267,Aklavik,1608350750,-135.01,68.22,-27.4,67,1.12,100,CA
268,Torbay,1608350750,-52.73,47.67,33.01,97,16.11,90,CA
269,Dudinka,1608350751,86.18,69.41,-11.2,83,8.95,40,RU
270,Fairbanks,1608350751,-147.72,64.84,-11.99,68,3.36,40,US
271,Guerrero Negro,1608350751,-114.06,27.98,56.48,84,5.82,55,MX
272,Ponta do Sol,1608350751,-17.1,32.67,61.0,77,4.7,20,PT
273,Sangar,1608350751,127.47,63.92,-40.76,79,4.63,86,RU
274,Launceston,1608350751,147.17,-41.45,69.01,42,8.05,75,AU
275,Mae Sai,1608350751,99.88,20.43,80.01,65,4.7,75,TH
276,Nuuk,1608350718,-51.72,64.18,23.0,73,9.17,100,GL
277,Buta,1608350583,24.73,2.79,66.78,94,1.23,5,CD
278,Port Blair,1608350589,92.75,11.67,83.07,75,16.04,98,IN
279,Nome,1608350643,-165.41,64.5,1.4,59,6.93,90,US
280,Blythe,1608350752,-114.6,33.61,57.2,24,9.17,1,US
281,Chernyshevskiy,1608350752,112.47,63.01,-1.44,94,4.29,100,RU
282,Margate,1608350633,1.39,51.38,51.01,75,5.99,100,GB
283,Sørland,1608350752,12.69,67.67,40.48,71,13.13,100,NO
284,Kiryat Gat,1608350752,34.76,31.61,54.0,93,2.66,0,IL
285,Khāsh,1608350752,61.22,28.22,50.7,45,0.92,100,IR
286,Japura,1608350752,102.35,-0.32,85.95,62,5.68,100,ID
287,Batagay,1608350752,134.63,67.63,-33.74,81,2.48,97,RU
288,Pisco,1608350752,-76.22,-13.7,68.0,82,12.75,0,PE
289,Tura,1608350752,90.22,25.52,67.46,44,1.19,0,IN
290,Muros,1608350753,-9.06,42.78,57.0,85,7.0,34,ES
291,Ketchikan,1608350463,-131.65,55.34,42.8,75,6.93,75,US
292,Dembī Dolo,1608350753,34.8,8.53,58.96,56,5.17,1,ET
293,Honiara,1608350753,159.95,-9.43,78.8,100,6.93,90,SB
294,Yangambi,1608350753,24.43,0.81,67.48,96,1.63,8,CD
295,Cayenne,1608350753,-52.33,4.93,75.2,100,3.36,97,GF
296,Olinda,1608350753,-34.86,-8.01,77.0,73,9.17,75,BR
297,Lucea,1608350753,-78.17,18.45,80.6,78,6.93,20,JM
298,Kruisfontein,1608350753,24.73,-34.0,68.0,89,1.99,10,ZA
299,Korla,1608350753,86.15,41.76,23.43,87,4.88,63,CN
300,Praia da Vitória,1608350753,-27.07,38.73,60.8,72,6.6,20,PT
301,Mayumba,1608350754,10.66,-3.43,76.75,89,5.3,99,GA
302,Ucluelet,1608350459,-125.55,48.93,46.99,92,11.01,70,CA
303,Kondopoga,1608350754,34.26,62.21,24.8,85,2.24,96,RU
304,Salina Cruz,1608350754,-95.2,16.17,76.48,67,17.85,14,MX
305,Madang,1608350754,145.8,-5.22,82.69,80,4.36,99,PG
306,Zelenets,1608350754,50.75,61.88,-14.8,83,4.47,20,RU
307,Palāsa,1608350754,84.42,18.77,76.33,64,5.7,0,IN
308,Cap Malheureux,1608350754,57.61,-19.98,80.01,75,8.99,2,MU
309,Chokurdakh,1608350754,147.92,70.63,-18.42,88,6.44,32,RU
310,Vanimo,1608350755,141.3,-2.67,85.86,68,4.14,73,PG
311,Hecun,1608350755,114.11,36.53,37.85,57,6.44,40,CN
312,Inhapim,1608350755,-42.12,-19.55,69.42,94,3.47,100,BR
313,Chifeng,1608350755,118.96,42.27,14.02,87,7.43,0,CN
314,Collie,1608350755,116.15,-33.37,94.23,16,3.36,0,AU
315,Kem',1608350755,34.58,64.96,20.62,97,11.83,100,RU
316,Gayny,1608350755,54.32,60.31,-3.15,92,3.6,0,RU
317,Fort Frances,1608350644,-93.4,48.6,10.99,85,5.82,40,CA
318,Mossamedes,1608350755,12.15,-15.2,66.27,78,4.94,75,AO
319,Puqi,1608350755,113.88,29.72,45.3,57,7.99,1,CN
320,Kloulklubed,1608350755,134.26,7.04,80.6,88,12.75,90,PW
321,Saint-Pierre,1608350756,55.48,-21.34,82.4,65,1.12,0,RE
322,Pontianak,1608350643,109.33,-0.03,86.38,64,5.23,99,ID
323,Muzhi,1608350756,64.67,65.37,7.09,89,9.89,58,RU
324,Shihezi,1608350756,86.03,44.3,6.42,91,0.94,32,CN
325,Madera,1608350756,-119.83,37.17,44.01,92,2.28,0,US
326,Smithers,1608350756,-127.17,54.78,32.0,94,2.24,90,CA
327,Mackay,1608350499,149.2,-21.15,89.01,66,18.34,28,AU
328,Broken Hill,1608350756,141.43,-31.95,78.8,13,8.05,7,AU
329,Nicoya,1608350756,-85.45,10.15,75.2,78,5.82,0,CR
330,Tiznit Province,1608350757,-9.5,29.58,51.85,72,0.76,0,MA
331,Newport,1608350511,-3.0,51.59,52.0,99,1.01,100,GB
332,Plettenberg Bay,1608350757,23.37,-34.05,65.71,83,1.74,0,ZA
333,Ust'-Karsk,1608350757,118.81,52.7,-3.89,80,3.02,3,RU
334,Zhaozhou,1608350757,125.32,45.68,6.66,86,8.57,0,CN
335,Norman Wells,1608350757,-126.83,65.28,-47.2,63,2.24,40,CA
336,Kerchevskiy,1608350757,56.29,59.95,-7.87,91,3.62,22,RU
337,Serenje,1608350757,30.24,-13.23,62.83,92,1.39,100,ZM
338,Wilmington,1608350653,-77.94,34.23,36.0,80,4.81,1,US
339,Cherskiy,1608350758,161.3,68.75,-25.31,86,3.09,0,RU
340,Bathsheba,1608350758,-59.52,13.22,77.0,88,12.75,75,BB
341,Goderich,1608350758,-81.72,43.75,28.4,79,10.29,99,CA
342,Sept-Îles,1608350529,-66.38,50.2,19.4,73,4.7,0,CA
343,Victor Harbor,1608350758,138.62,-35.57,72.0,41,4.0,20,AU
344,Lorengau,1608350758,147.27,-2.02,85.33,73,7.96,91,PG
345,North Bend,1608350758,-124.22,43.41,53.01,93,16.11,90,US
346,Ahipara,1608350758,173.17,-35.17,71.4,58,3.71,15,NZ
347,Nurota,1608350758,65.69,40.56,35.6,93,2.24,90,UZ
348,Maraã,1608350758,-65.37,-1.83,73.4,99,2.8,100,BR
349,Yar-Sale,1608350759,70.83,66.83,-17.82,86,7.58,59,RU
350,Ormond Beach,1608350625,-81.06,29.29,48.2,93,8.05,1,US
351,Rawson,1608350759,-65.1,-43.3,61.14,59,8.77,54,AR
352,Cumana,1608350759,-64.18,10.46,77.27,78,9.1,17,VE
353,Kassala,1608350759,36.4,15.45,64.29,91,7.92,1,SD
354,Changchun,1608350626,125.32,43.88,6.8,50,8.95,0,CN
355,Turbat,1608350759,63.04,26.0,66.81,31,2.35,98,PK
356,High Level,1608350760,-117.14,58.52,-14.8,75,5.82,90,CA
357,Grindavik,1608350760,-22.43,63.84,35.6,80,20.8,0,IS
358,Nampula,1608350760,39.27,-15.12,73.4,88,8.05,75,MZ
359,Campos Altos,1608350686,-46.17,-19.7,65.21,89,1.74,100,BR
360,Tautira,1608350760,-149.15,-17.73,82.4,74,11.41,75,PF
361,Lakatoro,1608350760,167.42,-16.1,77.0,94,9.4,90,VU
362,Bonavista,1608350760,-53.11,48.65,30.2,100,4.7,93,CA
363,Río Blanco,1608350493,-97.15,18.83,58.87,75,0.54,7,MX
364,Mitsamiouli,1608350760,43.28,-11.38,82.56,66,3.2,97,KM
365,Berlevåg,1608350760,29.09,70.86,23.23,95,10.31,77,NO
366,Aktobe,1608350640,57.21,50.28,23.0,92,8.95,90,KZ
367,Virginia Beach,1608350505,-75.98,36.85,42.8,52,12.75,90,US
368,Bermeo,1608350761,-2.72,43.42,55.99,62,12.75,0,ES
369,Los Llanos de Aridane,1608350761,-17.92,28.66,64.4,68,5.82,90,ES
370,Moindou,1608350761,165.68,-21.69,86.0,51,18.34,40,NC
371,Padang,1608350761,100.35,-0.95,84.31,63,3.96,96,ID
372,Seoul,1608350699,126.98,37.57,28.4,23,6.58,1,KR
373,Ilulissat,1608350761,-51.1,69.22,17.6,72,5.82,100,GL
